device_id, CreateTime, RecvTime, Data
1, , 2019-10-16 19:50:07.709000, 27173482
1, , 2019-10-16 19:50:14.774000, 27180549
1, , 2019-10-16 19:50:21.839000, 27187616
1, , 2019-10-16 19:50:28.904000, 27194684
1, , 2019-10-16 19:50:35.971000, 27201752
1, , 2019-10-16 19:50:44.218000, 27208821
1, , 2019-10-16 19:50:51.775000, 27216603
1, , 2019-10-16 19:50:58.840000, 27224634
1, , 2019-10-16 19:51:05.904000, 27231702
1, , 2019-10-16 19:51:12.965000, 27238769
1, , 2019-10-16 19:51:20.034000, 27245836
1, , 2019-10-16 19:51:27.094000, 27252904
1, , 2019-10-16 19:51:34.155000, 27259971
1, , 2019-10-16 19:51:41.222000, 27267040
1, , 2019-10-16 19:51:48.290000, 27274107
1, , 2019-10-16 19:51:55.359000, 27281178
1, , 2019-10-16 19:52:02.440000, 27288246
1, , 2019-10-16 19:52:09.504000, 27295330
1, , 2019-10-16 19:52:16.567000, 27302398
1, , 2019-10-16 19:52:23.633000, 27309465
1, , 2019-10-16 19:52:30.701000, 27316533
1, , 2019-10-16 19:52:37.767000, 27323601
1, , 2019-10-16 19:52:44.831000, 27330672
1, , 2019-10-16 19:52:51.893000, 27337739
